ranking,score,movie_name,score_num,movie_url
131,8.5,记忆碎片,290334,https://movie.douban.com/subject/1304447/
132,8.6,东邪西毒,260789,https://movie.douban.com/subject/1292328/
133,8.8,喜宴,145953,https://movie.douban.com/subject/1303037/
134,8.6,怪兽电力公司,251850,https://movie.douban.com/subject/1291579/
135,8.7,疯狂原始人,384462,https://movie.douban.com/subject/1907966/
136,8.5,黑天鹅,432439,https://movie.douban.com/subject/1978709/
137,8.7,燃情岁月,152674,https://movie.douban.com/subject/1295865/
138,8.7,英雄本色,173536,https://movie.douban.com/subject/1297574/
139,8.9,虎口脱险,110643,https://movie.douban.com/subject/1296909/
140,8.8,卢旺达饭店,124506,https://movie.douban.com/subject/1291822/
141,8.5,恋恋笔记本,293939,https://movie.douban.com/subject/1309163/
142,8.4,傲慢与偏见,314048,https://movie.douban.com/subject/1418200/
143,8.7,7号房的礼物,183712,https://movie.douban.com/subject/10777687/
144,8.5,猜火车,255712,https://movie.douban.com/subject/1292528/
145,8.8,魂断蓝桥,133402,https://movie.douban.com/subject/1293964/
146,8.6,海边的曼彻斯特,198776,https://movie.douban.com/subject/25980443/
147,8.6,穿越时空的少女,191404,https://movie.douban.com/subject/1937946/
148,8.8,教父3,135566,https://movie.douban.com/subject/1294240/
149,8.6,哈利·波特与死亡圣器(下),284044,https://movie.douban.com/subject/3011235/
150,8.7,萤火之森,164804,https://movie.douban.com/subject/5989818/
151,9.0,完美的世界,83815,https://movie.douban.com/subject/1300992/
152,8.7,纵横四海,152126,https://movie.douban.com/subject/1295409/
153,8.8,玩具总动员3,198289,https://movie.douban.com/subject/1858711/
154,8.9,雨中曲,95874,https://movie.douban.com/subject/1293460/
155,8.9,小森林 冬春篇,120564,https://movie.douban.com/subject/25814707/
156,8.8,荒蛮故事,145875,https://movie.douban.com/subject/24750126/
157,8.5,花样年华,255665,https://movie.douban.com/subject/1291557/
158,8.8,二十二,94319,https://movie.douban.com/subject/26430107/
159,8.8,我是山姆,107668,https://movie.douban.com/subject/1306861/
160,8.6,超能陆战队,383402,https://movie.douban.com/subject/11026735/
161,8.4,唐伯虎点秋香,341272,https://movie.douban.com/subject/1306249/
162,8.6,时空恋旅人,208468,https://movie.douban.com/subject/10577869/
163,8.6,人工智能,195168,https://movie.douban.com/subject/1302827/
164,8.7,浪潮,136368,https://movie.douban.com/subject/2297265/
165,8.6,蝙蝠侠：黑暗骑士崛起,303673,https://movie.douban.com/subject/3395373/
166,8.4,冰川时代,280174,https://movie.douban.com/subject/1291578/
167,8.4,香水,284004,https://movie.douban.com/subject/1760622/
168,8.5,朗读者,284603,https://movie.douban.com/subject/2213597/
169,8.6,心迷宫,168573,https://movie.douban.com/subject/25917973/
170,8.7,罗生门,128925,https://movie.douban.com/subject/1291879/
171,8.9,追随,84163,https://movie.douban.com/subject/1397546/
172,8.7,一次别离,136140,https://movie.douban.com/subject/5964718/
173,8.6,撞车,178296,https://movie.douban.com/subject/1388216/
174,8.6,爆裂鼓手,245204,https://movie.douban.com/subject/25773932/
175,8.8,未麻的部屋,101293,https://movie.douban.com/subject/1395091/
176,8.7,可可西里,132730,https://movie.douban.com/subject/1308857/
177,8.5,战争之王,179120,https://movie.douban.com/subject/1419936/
178,8.8,地球上的星星,87661,https://movie.douban.com/subject/2363506/
179,8.7,梦之安魂曲,114485,https://movie.douban.com/subject/1292270/
